ID,Longitude,Latitude,title,type,note,date
,138.9091,35.17674,197,syoukasen, ,2014/2/22 0:00
,138.90933,35.17592,198,syoukasen,,2014/2/22 0:00
,138.91221,35.17567,199,syoukasen, ,2014/2/22 0:00
,138.9105,35.17655,200,syoukasen,,2014/2/22 0:00
,138.91144,35.1769,201,syoukasen, ,2014/2/22 0:00
,138.91224,35.17709,202,syoukasen,,2014/2/22 0:00
,138.91299,35.17686,203,syoukasen, ,2014/2/22 0:00
,138.91476,35.1773,204,syoukasen,,2014/2/22 0:00
,138.91331,35.1777,205,syoukasen, ,2014/2/22 0:00
,138.91439,35.17808,206,syoukasen,,2014/2/22 0:00
,138.91362,35.17874,207,syoukasen, ,2014/2/22 0:00
,138.91118,35.17829,208,syoukasen,,2014/2/22 0:00
,138.91024,35.17899,209,syoukasen, ,2014/2/22 0:00
,138.91071,35.17946,210,syoukasen,,2014/2/22 0:00
,138.9113,35.18005,211,syoukasen, ,2014/2/22 0:00
,138.91048,35.18014,212,syoukasen,,2014/2/22 0:00
,138.91225,35.18036,213,syoukasen, ,2014/2/22 0:00
,138.91231,35.17945,214,syoukasen,,2014/2/22 0:00
,138.9128,35.1792,215,syoukasen, ,2014/2/22 0:00
,138.91439,35.1802,216,syoukasen,,2014/2/22 0:00
,138.91779,35.17588,217,syoukasen, ,2014/2/22 0:00
,138.91753,35.17712,218,syoukasen,,2014/2/22 0:00
,138.91766,35.17768,219,syoukasen, ,2014/2/22 0:00
,138.9179,35.1786,220,syoukasen,,2014/2/22 0:00
,138.9168,35.17778,221,syoukasen, ,2014/2/22 0:00
,138.91573,35.17871,222,syoukasen,,2014/2/22 0:00
,138.91578,35.18032,223,syoukasen, ,2014/2/22 0:00
,138.91778,35.18026,224,syoukasen,,2014/2/22 0:00
,138.92096,35.18,225,syoukasen, ,2014/2/22 0:00
,138.92037,35.17805,226,syoukasen,,2014/2/22 0:00
,138.92983,35.17915,227,syoukasen, ,2014/2/22 0:00
,138.93102,35.17959,228,syoukasen,,2014/2/22 0:00
,138.93152,35.17839,229,syoukasen, ,2014/2/22 0:00
,138.93219,35.17838,230,syoukasen,,2014/2/22 0:00
,138.93287,35.17872,231,syoukasen, ,2014/2/22 0:00
,138.93244,35.17939,232,syoukasen,,2014/2/22 0:00
,138.93396,35.1794,233,syoukasen, ,2014/2/22 0:00
,138.93425,35.17899,234,syoukasen,,2014/2/22 0:00
,138.93491,35.17994,235,syoukasen, ,2014/2/22 0:00
,138.93396,35.18044,236,syoukasen,,2014/2/22 0:00
,138.9019,35.18164,237,syoukasen, ,2014/2/22 0:00
,138.90379,35.18052,238,syoukasen,,2014/2/22 0:00
,138.90462,35.18053,239,syoukasen, ,2014/2/22 0:00
,138.90553,35.18073,240,syoukasen,,2014/2/22 0:00
,138.90602,35.18136,241,syoukasen, ,2014/2/22 0:00
,138.90697,35.18159,242,syoukasen,,2014/2/22 0:00
,138.90751,35.18105,243,syoukasen, ,2014/2/22 0:00
,138.90855,35.1813,244,syoukasen,,2014/2/22 0:00
,138.90785,35.18468,245,syoukasen, ,2014/2/22 0:00
,138.90552,35.18512,246,syoukasen,,2014/2/22 0:00
,138.90445,35.18476,247,syoukasen, ,2014/2/22 0:00
,138.90373,35.18382,248,syoukasen,,2014/2/22 0:00
,138.90888,35.18237,249,syoukasen, ,2014/2/22 0:00
,138.90993,35.18073,250,syoukasen,,2014/2/22 0:00
,138.91018,35.1821,251,syoukasen, ,2014/2/22 0:00
,138.91254,35.1811,252,syoukasen,,2014/2/22 0:00
,138.91336,35.18079,253,syoukasen, ,2014/2/22 0:00
,138.91385,35.18059,254,syoukasen,,2014/2/22 0:00
,138.91483,35.18242,255,syoukasen, ,2014/2/22 0:00
,138.91418,35.18297,256,syoukasen,,2014/2/22 0:00
,138.91524,35.18355,257,syoukasen, ,2014/2/22 0:00
,138.91462,35.18467,258,syoukasen,,2014/2/22 0:00
,138.91178,35.18386,259,syoukasen, ,2014/2/22 0:00
,138.91074,35.183,260,syoukasen,,2014/2/22 0:00
,138.90939,35.18368,261,syoukasen, ,2014/2/22 0:00
,138.90963,35.18472,262,syoukasen,,2014/2/22 0:00
,138.91019,35.18518,263,syoukasen, ,2014/2/22 0:00
,138.91104,35.18519,264,syoukasen,,2014/2/22 0:00
,138.91724,35.18284,265,syoukasen, ,2014/2/22 0:00
,138.91937,35.18257,266,syoukasen,,2014/2/22 0:00
,138.91965,35.18374,267,syoukasen, ,2014/2/22 0:00
,138.92203,35.18262,268,syoukasen,,2014/2/22 0:00
,138.92094,35.18082,269,syoukasen, ,2014/2/22 0:00
,138.92291,35.18058,270,syoukasen,,2014/2/22 0:00
,138.92571,35.18178,271,syoukasen, ,2014/2/22 0:00
,138.92623,35.1826,272,syoukasen,,2014/2/22 0:00
,138.92752,35.18277,273,syoukasen, ,2014/2/22 0:00
,138.90119,35.18953,274,syoukasen,,2014/2/22 0:00
,138.90096,35.1889,275,syoukasen, ,2014/2/22 0:00
,138.90048,35.18943,276,syoukasen,,2014/2/22 0:00
,138.90295,35.18704,277,syoukasen, ,2014/2/22 0:00
,138.90382,35.18618,278,syoukasen,,2014/2/22 0:00
,138.90376,35.18549,279,syoukasen, ,2014/2/22 0:00
,138.90586,35.18637,280,syoukasen,,2014/2/22 0:00
,138.90428,35.18716,281,syoukasen, ,2014/2/22 0:00
,138.90548,35.18889,282,syoukasen,,2014/2/22 0:00
,138.9073,35.18709,283,syoukasen, ,2014/2/22 0:00
,138.90803,35.18784,284,syoukasen,,2014/2/22 0:00
,138.90849,35.18817,285,syoukasen, ,2014/2/22 0:00
,138.9084,35.18956,286,syoukasen,,2014/2/22 0:00
,138.90909,35.18664,287,syoukasen, ,2014/2/22 0:00
,138.9099,35.18664,288,syoukasen,,2014/2/22 0:00
,138.90986,35.18608,289,syoukasen, ,2014/2/22 0:00
,138.91233,35.18544,290,syoukasen,,2014/2/22 0:00
,138.91426,35.18573,291,syoukasen, ,2014/2/22 0:00
,138.91596,35.18752,292,syoukasen,,2014/2/22 0:00
,138.91523,35.18931,293,syoukasen, ,2014/2/22 0:00
,138.91521,35.1901,294,syoukasen,,2014/2/22 0:00
,138.91205,35.18938,295,syoukasen, ,2014/2/22 0:00
,138.91141,35.18794,296,syoukasen,,2014/2/22 0:00
,138.91075,35.1875,297,syoukasen, ,2014/2/22 0:00
,138.91007,35.18892,298,syoukasen,,2014/2/22 0:00
,138.91717,35.18778,299,syoukasen, ,2014/2/22 0:00
,138.91664,35.18848,300,syoukasen,,2014/2/22 0:00
,138.91747,35.189,301,syoukasen, ,2014/2/22 0:00
,138.91822,35.18662,302,syoukasen,,2014/2/22 0:00
,138.91921,35.18818,303,syoukasen, ,2014/2/22 0:00
,138.91906,35.18987,304,syoukasen,,2014/2/22 0:00
,138.92034,35.18989,305,syoukasen, ,2014/2/22 0:00
,138.92101,35.18785,306,syoukasen,,2014/2/22 0:00
,138.92102,35.18577,307,syoukasen, ,2014/2/22 0:00
,138.92281,35.18682,308,syoukasen,,2014/2/22 0:00
,138.89599,35.19059,309,syoukasen, ,2014/2/22 0:00
,138.89698,35.19044,310,syoukasen,,2014/2/22 0:00
,138.90118,35.1909,311,syoukasen, ,2014/2/22 0:00
,138.89923,35.19327,312,syoukasen,,2014/2/22 0:00
,138.89916,35.1941,313,syoukasen, ,2014/2/22 0:00
,138.8993,35.19507,314,syoukasen,,2014/2/22 0:00
,138.90572,35.19124,315,syoukasen, ,2014/2/22 0:00
,138.90671,35.19079,316,syoukasen,,2014/2/22 0:00
,138.90695,35.19065,317,syoukasen, ,2014/2/22 0:00
,138.90728,35.19199,318,syoukasen,,2014/2/22 0:00
,138.90762,35.19405,319,syoukasen, ,2014/2/22 0:00
,138.91085,35.19115,320,syoukasen,,2014/2/22 0:00
,138.91259,35.1914,321,syoukasen, ,2014/2/22 0:00
,138.91023,35.19282,322,syoukasen,,2014/2/22 0:00
,138.91359,35.19248,323,syoukasen, ,2014/2/22 0:00
,138.91418,35.1939,324,syoukasen,,2014/2/22 0:00
,138.91412,35.19426,325,syoukasen, ,2014/2/22 0:00
,138.91594,35.19213,326,syoukasen,,2014/2/22 0:00
,138.9169,35.1919,327,syoukasen, ,2014/2/22 0:00
,138.91814,35.19192,328,syoukasen,,2014/2/22 0:00
,138.91802,35.1911,329,syoukasen, ,2014/2/22 0:00
,138.91903,35.19161,330,syoukasen,,2014/2/22 0:00
,138.92014,35.19158,331,syoukasen, ,2014/2/22 0:00
,138.92115,35.19145,332,syoukasen,,2014/2/22 0:00
,138.92092,35.19206,333,syoukasen, ,2014/2/22 0:00
,138.9208,35.19277,334,syoukasen,,2014/2/22 0:00
,138.91959,35.19286,335,syoukasen, ,2014/2/22 0:00
,138.91808,35.19288,336,syoukasen,,2014/2/22 0:00
,138.918,35.19432,337,syoukasen, ,2014/2/22 0:00
,138.91808,35.19479,338,syoukasen,,2014/2/22 0:00
,138.92131,35.19389,339,syoukasen, ,2014/2/22 0:00
,138.92204,35.1949,340,syoukasen,,2014/2/22 0:00
,138.92678,35.19603,341,syoukasen, ,2014/2/22 0:00
,138.92554,35.1977,342,syoukasen,,2014/2/22 0:00
,138.9251,35.19757,343,syoukasen, ,2014/2/22 0:00
,138.92511,35.19564,344,syoukasen,,2014/2/22 0:00
,138.92369,35.19723,345,syoukasen, ,2014/2/22 0:00
,138.92357,35.19556,346,syoukasen,,2014/2/22 0:00
,138.92269,35.19668,347,syoukasen, ,2014/2/22 0:00
,138.92262,35.19567,348,syoukasen,,2014/2/22 0:00
,138.92057,35.1974,349,syoukasen, ,2014/2/22 0:00
